StudyHours,Pass
0.55,0
0.7,0
0.74,0
0.83,0
0.93,0
0.94,0
1.05,0
1.1,0
1.12,0
1.2,0
1.21,0
1.34,0
1.43,0
1.52,0
1.6,0
1.64,0
1.66,0
1.83,0
1.84,0
1.98,0
1.98,0
2.12,0
2.23,0
2.24,0
2.26,0
2.36,0
2.39,1
2.4,0
2.52,0
2.96,0
3.08,0
3.17,1
3.27,0
3.28,0
3.39,0
3.39,0
3.45,0
3.46,0
3.59,0
3.59,0
3.64,0
3.89,0
3.91,0
3.98,1
4.06,1
4.19,0
4.56,0
4.6,0
4.68,0
4.83,1
4.99,1
5.19,1
5.2,1
5.39,0
5.44,1
5.47,0
5.49,1
5.66,0
5.69,1
5.83,1
6.13,1
6.18,0
6.19,1
6.21,1
6.27,1
6.31,1
6.42,1
6.56,1
6.79,1
7,1
7.22,1
7.23,1
7.28,1
7.43,1
7.43,1
7.45,1
7.73,1
7.82,1
7.83,1
7.84,1
7.86,1
7.96,1
8.12,1
8.18,1
8.25,1
8.37,1
8.41,1
8.7,1
8.73,1
8.93,1
9,1
9.14,1
9.26,1
9.43,1
9.51,1
9.53,1
9.67,1
9.71,1
9.71,1
9.88,1
